capitolo          	capitolo          	CAPITOLO
sfrecciarono      	sfrecciare        	E non ebbe il minimo soprassalto neanche quando, nella strada accanto, la portiera di una macchina sbatté forte, né quando due gufi gli sfrecciarono sopra la testa.
mezzanotte        	mezzanotte        	Dovette farsi quasi mezzanotte prima che il gatto facesse il minimo movimento.
movimento         	movimento         	Dovette farsi quasi mezzanotte prima che il gatto facesse il minimo movimento.
apparve           	apparire          	Un uomo apparve all’angolo della strada che il gatto stava tenendo d’occhio;
improvviso        	improvviso        	ma apparve così all’improvviso e silenziosamente che si sarebbe detto fosse spuntato direttamente dal terreno.
silenziosamente   	silenziosamente   	ma apparve così all’improvviso e silenziosamente che si sarebbe detto fosse spuntato direttamente dal terreno.
spuntato          	spuntare          	ma apparve così all’improvviso e silenziosamente che si sarebbe detto fosse spuntato direttamente dal terreno.
direttamente      	direttamente      	ma apparve così all’improvviso e silenziosamente che si sarebbe detto fosse spuntato direttamente dal terreno.
terreno           	terreno           	ma apparve così all’improvviso e silenziosamente che si sarebbe detto fosse spuntato direttamente dal terreno.
coda              	coda              	La coda del gatto ebbe un guizzo e gli occhi divennero due fessure.
guizzo            	guizzo            	La coda del gatto ebbe un guizzo e gli occhi divennero due fessure.
divennero         	divenire          	La coda del gatto ebbe un guizzo e gli occhi divennero due fessure.
fessure           	fessura           	La coda del gatto ebbe un guizzo e gli occhi divennero due fessure.
simile            	simile            	In Privet Drive non s’era mai visto niente di simile.
alto              	alto              	Era alto, magro e molto vecchio, a giudicare dall’argento dei capelli e della barba, talmente lunghi che li teneva infilati nella cintura.
giudicare         	giudicare         	Era alto, magro e molto vecchio, a giudicare dall’argento dei capelli e della barba, talmente lunghi che li teneva infilati nella cintura.
argento           	argento           	Era alto, magro e molto vecchio, a giudicare dall’argento dei capelli e della barba, talmente lunghi che li teneva infilati nella cintura.
capelli           	capello           	Era alto, magro e molto vecchio, a giudicare dall’argento dei capelli e della barba, talmente lunghi che li teneva infilati nella cintura.
barba             	barba             	Era alto, magro e molto vecchio, a giudicare dall’argento dei capelli e della barba, talmente lunghi che li teneva infilati nella cintura.
infilati          	infilare          	Era alto, magro e molto vecchio, a giudicare dall’argento dei capelli e della barba, talmente lunghi che li teneva infilati nella cintura.
cintura           	cintura           	Era alto, magro e molto vecchio, a giudicare dall’argento dei capelli e della barba, talmente lunghi che li teneva infilati nella cintura.
tunica            	tunica            	Indossava una tunica, un mantello color porpora che strusciava per terra e stivali con i tacchi alti e le fibbie.
color             	colore            	Indossava una tunica, un mantello color porpora che strusciava per terra e stivali con i tacchi alti e le fibbie.
porpora           	porpora           	Indossava una tunica, un mantello color porpora che strusciava per terra e stivali con i tacchi alti e le fibbie.
strusciava        	strusciare        	Indossava una tunica, un mantello color porpora che strusciava per terra e stivali con i tacchi alti e le fibbie.
stivali           	stivale           	Indossava una tunica, un mantello color porpora che strusciava per terra e stivali con i tacchi alti e le fibbie.
tacchi            	tacco             	Indossava una tunica, un mantello color porpora che strusciava per terra e stivali con i tacchi alti e le fibbie.
fibbie            	fibbia            	Indossava una tunica, un mantello color porpora che strusciava per terra e stivali con i tacchi alti e le fibbie.
dietro            	dietro            	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
occhiali          	occhiali          	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
mezzaluna         	mezzaluna         	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
azzurro           	azzurro           	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
chiaro            	chiaro            	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
luminosi          	luminoso          	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
scintillanti      	scintillante      	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
naso              	naso              	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
ricurvo           	ricurvo           	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
rotto             	rompere           	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
almeno            	almeno            	Dietro gli occhiali a mezzaluna aveva occhi azzurro chiaro, luminosi e scintillanti, e il naso era molto lungo e ricurvo, come se l’avesse rotto almeno un paio di volte.
rendersi          	rendersi          	Albus Silente non sembrava rendersi conto di essere appena arrivato in una strada dove tutto, dal suo nome ai suoi stivali, risultava sgradito.
arrivato          	arrivare          	Albus Silente non sembrava rendersi conto di essere appena arrivato in una strada dove tutto, dal suo nome ai suoi stivali, risultava sgradito.
dove              	dove              	Albus Silente non sembrava rendersi conto di essere appena arrivato in una strada dove tutto, dal suo nome ai suoi stivali, risultava sgradito.
risultava         	risultare         	Albus Silente non sembrava rendersi conto di essere appena arrivato in una strada dove tutto, dal suo nome ai suoi stivali, risultava sgradito.
sgradito          	sgradito          	Albus Silente non sembrava rendersi conto di essere appena arrivato in una strada dove tutto, dal suo nome ai suoi stivali, risultava sgradito.
rovistare         	rovistare         	Si dava un gran da fare a rovistare sotto il mantello, in cerca di qualcosa.
sotto             	sotto             	Si dava un gran da fare a rovistare sotto il mantello, in cerca di qualcosa.
cerca             	cerca             	Si dava un gran da fare a rovistare sotto il mantello, in cerca di qualcosa.
osservato         	osservare         	Sembrò invece rendersi conto di essere osservato, perché all’improvviso guardò il gatto, che lo stava ancora fissando dall’estremità opposta della strada.
estremità         	estremità         	Sembrò invece rendersi conto di essere osservato, perché all’improvviso guardò il gatto, che lo stava ancora fissando dall’estremità opposta della strada.
ignota            	ignoto            	Per qualche ignota ragione, la vista del gatto sembrò divertirlo.
vista             	vista             	Per qualche ignota ragione, la vista del gatto sembrò divertirlo.
divertirlo        	divertire         	Per qualche ignota ragione, la vista del gatto sembrò divertirlo.
ridacchiò         	ridacchiare       	Ridacchiò tra sé borbottando:
sé                	sé|se_2           	Ridacchiò tra sé borbottando:
borbottando       	borbottare        	Ridacchiò tra sé borbottando:
tasca             	tasca             	Aveva trovato quel che stava cercando nella tasca interna del mantello.
interna           	interno           	Aveva trovato quel che stava cercando nella tasca interna del mantello.
accendino         	accendino         	Sembrava un accendino d’argento.
aprì              	aprire            	Aprì il cappuccio, lo sollevò in aria e lo fece scattare.
cappuccio         	cappuccio         	Aprì il cappuccio, lo sollevò in aria e lo fece scattare.
sollevò           	sollevare         	Aprì il cappuccio, lo sollevò in aria e lo fece scattare.
scattare          	scattare          	Aprì il cappuccio, lo sollevò in aria e lo fece scattare.
lampione          	lampione          	Il lampione più vicino si fulminò con un piccolo schiocco.
fulminò           	fulminarsi        	Il lampione più vicino si fulminò con un piccolo schiocco.
schiocco          	schiocco          	Il lampione più vicino si fulminò con un piccolo schiocco.
appresso          	appresso          	L’uomo lo fece scattare di nuovo, e questa volta si fulminò il lampione appresso.
dodici            	dodici            	Dodici volte fece funzionare quel suo ‘spegnino’, fino a che l’unica illuminazione rimasta in tutta la strada furono due capocchie di spillo in lontananza:
funzionare        	funzionare        	Dodici volte fece funzionare quel suo ‘spegnino’, fino a che l’unica illuminazione rimasta in tutta la strada furono due capocchie di spillo in lontananza:
unica             	unico             	Dodici volte fece funzionare quel suo ‘spegnino’, fino a che l’unica illuminazione rimasta in tutta la strada furono due capocchie di spillo in lontananza:
illuminazione     	illuminazione     	Dodici volte fece funzionare quel suo ‘spegnino’, fino a che l’unica illuminazione rimasta in tutta la strada furono due capocchie di spillo in lontananza:
capocchie         	capocchia         	Dodici volte fece funzionare quel suo ‘spegnino’, fino a che l’unica illuminazione rimasta in tutta la strada furono due capocchie di spillo in lontananza:
spillo            	spillo            	Dodici volte fece funzionare quel suo ‘spegnino’, fino a che l’unica illuminazione rimasta in tutta la strada furono due capocchie di spillo in lontananza:
lontananza        	lontananza        	Dodici volte fece funzionare quel suo ‘spegnino’, fino a che l’unica illuminazione rimasta in tutta la strada furono due capocchie di spillo in lontananza:
perfino           	perfino           	Se in quel momento qualcuno – perfino quell’occhio di lince del signor Dursley – avesse guardato fuori dalla finestra, non sarebbe riuscito a vedere niente di quel che stava accadendo in strada.
lince             	lince             	Se in quel momento qualcuno – perfino quell’occhio di lince del signor Dursley – avesse guardato fuori dalla finestra, non sarebbe riuscito a vedere niente di quel che stava accadendo in strada.
ripose            	riporre           	Silente ripose nuovamente il suo spegnino nella tasca del mantello e si incamminò verso il numero 4 di Privet Drive, dove si mise a sedere sul muretto, accanto al gatto.
nuovamente        	nuovamente        	Silente ripose nuovamente il suo spegnino nella tasca del mantello e si incamminò verso il numero 4 di Privet Drive, dove si mise a sedere sul muretto, accanto al gatto.
incamminò         	incamminarsi      	Silente ripose nuovamente il suo spegnino nella tasca del mantello e si incamminò verso il numero 4 di Privet Drive, dove si mise a sedere sul muretto, accanto al gatto.
verso             	verso             	Silente ripose nuovamente il suo spegnino nella tasca del mantello e si incamminò verso il numero 4 di Privet Drive, dove si mise a sedere sul muretto, accanto al gatto.
combinazione      	combinazione      	«Che combinazione!
professoressa     	professore        	Anche lei qui, professoressa McGonagall?
scomparso         	scomparire        	» Si voltò con un sorriso verso il soriano, ma questo era scomparso.
donna             	donna             	Al suo posto, davanti a lui, c’era una donna dall’aspetto piuttosto severo, che portava un paio di occhiali squadrati di forma identica ai segni che il gatto aveva intorno agli occhi.
aspetto           	aspetto           	Al suo posto, davanti a lui, c’era una donna dall’aspetto piuttosto severo, che portava un paio di occhiali squadrati di forma identica ai segni che il gatto aveva intorno agli occhi.
piuttosto         	piuttosto         	Al suo posto, davanti a lui, c’era una donna dall’aspetto piuttosto severo, che portava un paio di occhiali squadrati di forma identica ai segni che il gatto aveva intorno agli occhi.
squadrati         	squadrare         	Al suo posto, davanti a lui, c’era una donna dall’aspetto piuttosto severo, che portava un paio di occhiali squadrati di forma identica ai segni che il gatto aveva intorno agli occhi.
forma             	forma             	Al suo posto, davanti a lui, c’era una donna dall’aspetto piuttosto severo, che portava un paio di occhiali squadrati di forma identica ai segni che il gatto aveva intorno agli occhi.
neri              	nero              	I capelli neri erano raccolti in uno chignon.
chignon           	chignon           	I capelli neri erano raccolti in uno chignon.
decisamente       	decisamente       	Aveva l’aria decisamente scombussolata.
scombussolata     	scombussolare     	Aveva l’aria decisamente scombussolata.
io                	io                	«Come faceva a sapere che ero io?» chiese.
posa              	posa              	«Perché, mia cara professoressa, non ho mai visto un gatto seduto in una posa così rigida».
mattoni           	mattone           	«Anche lei sarebbe rigido se fosse rimasto seduto tutto il giorno su un muretto di mattoni» lo rimbeccò la professoressa McGonagall.
rimbeccò          	rimbeccare        	«Anche lei sarebbe rigido se fosse rimasto seduto tutto il giorno su un muretto di mattoni» lo rimbeccò la professoressa McGonagall.
imbattuto         	imbattersi        	Venendo qui mi sono imbattuto in una decina e più di feste e banchetti».
decina            	decina            	Venendo qui mi sono imbattuto in una decina e più di feste e banchetti».
feste             	festa             	Venendo qui mi sono imbattuto in una decina e più di feste e banchetti».
banchetti         	banchetto         	Venendo qui mi sono imbattuto in una decina e più di feste e banchetti».
tirò              	tirare            	La professoressa McGonagall tirò su sdegnosamente col naso.
sdegnosamente     	sdegnosamente     	La professoressa McGonagall tirò su sdegnosamente col naso.
impaziente        	impaziente        	«Eh già, stanno proprio tutti festeggiando» disse con tono impaziente.
prudenti          	prudente          	«Ci si sarebbe potuti aspettare che fossero un po’ più prudenti, macché... anche i Babbani hanno notato che sta succedendo qualcosa.
macché            	macché            	«Ci si sarebbe potuti aspettare che fossero un po’ più prudenti, macché... anche i Babbani hanno notato che sta succedendo qualcosa.
succedendo        	succedere         	«Ci si sarebbe potuti aspettare che fossero un po’ più prudenti, macché... anche i Babbani hanno notato che sta succedendo qualcosa.
buia              	buio              	E così dicendo si voltò verso la finestra buia del soggiorno dei Dursley.
personalmente     	personalmente     	«L’ho sentito personalmente.
stormi            	stormo            	Stormi di gufi... stelle cadenti...
mica              	mica              	Be’, non sono mica del tutto stupidi.
scommetto         	scommettere       	Stelle cadenti nel Kent... Ci scommetto che è stato Dedalus Diggle.
svitato           	svitato           	È sempre stato un po’ svitato».
dolcezza          	dolcezza          	«Non gli si può dar torto» disse Silente con dolcezza.
undici            	undici            	«Per undici anni abbiamo avuto ben poco da festeggiare».
irritato          	irritato          	«Lo so, lo so» disse la professoressa McGonagall in tono irritato.
perdere           	perdere           	«Ma non è una buona ragione per perdere la testa.
commettendo       	commettere        	Stanno commettendo una vera imprudenza a girare per la strada in pieno giorno, senza neanche vestirsi da Babbani, scambiandosi indiscrezioni».
vera              	vero              	Stanno commettendo una vera imprudenza a girare per la strada in pieno giorno, senza neanche vestirsi da Babbani, scambiandosi indiscrezioni».
imprudenza        	imprudenza        	Stanno commettendo una vera imprudenza a girare per la strada in pieno giorno, senza neanche vestirsi da Babbani, scambiandosi indiscrezioni».
vestirsi          	vestirsi          	Stanno commettendo una vera imprudenza a girare per la strada in pieno giorno, senza neanche vestirsi da Babbani, scambiandosi indiscrezioni».
scambiandosi      	scambiarsi        	Stanno commettendo una vera imprudenza a girare per la strada in pieno giorno, senza neanche vestirsi da Babbani, scambiandosi indiscrezioni».
indiscrezioni     	indiscrezione     	Stanno commettendo una vera imprudenza a girare per la strada in pieno giorno, senza neanche vestirsi da Babbani, scambiandosi indiscrezioni».
lanciò            	lanciare          	A quel punto, lanciò a Silente un’occhiata obliqua e penetrante, sperando che lui dicesse qualcosa;
obliqua           	obliquo           	A quel punto, lanciò a Silente un’occhiata obliqua e penetrante, sperando che lui dicesse qualcosa;
penetrante        	penetrante        	A quel punto, lanciò a Silente un’occhiata obliqua e penetrante, sperando che lui dicesse qualcosa;
noi               	noi               	«Sarebbe un bel guaio se, proprio il giorno in cui sembra che Lei-Sa-Chi sia finalmente scomparso, i Babbani dovessero venire a sapere di noi.
grati             	grato             	«Dobbiamo essere molto grati.
caramella         	caramella         	È una caramella dei Babbani:
matto             	matto             	io ne vado matto».
freddamente       	freddamente       	«No grazie» rispose freddamente la professoressa McGonagall, come a voler dire che non era il momento adatto per le caramelle.
adatto            	adatto            	«No grazie» rispose freddamente la professoressa McGonagall, come a voler dire che non era il momento adatto per le caramelle.
buonsenso         	buonsenso         	«Come dicevo, anche se Lei-Sa-Chi se ne è veramente andato...» «Mia cara professoressa, una persona di buonsenso come lei potrebbe decidersi a chiamarlo anche per nome!
decidersi         	decidersi         	«Come dicevo, anche se Lei-Sa-Chi se ne è veramente andato...» «Mia cara professoressa, una persona di buonsenso come lei potrebbe decidersi a chiamarlo anche per nome!
chiamarlo         	chiamare          	«Come dicevo, anche se Lei-Sa-Chi se ne è veramente andato...» «Mia cara professoressa, una persona di buonsenso come lei potrebbe decidersi a chiamarlo anche per nome!
allusioni         	allusione         	Tutte queste allusioni a ‘Lei-Sa-Chi’ sono una vera stupidaggine... Sono undici anni che cerco di convincere la gente a chiamarlo col suo vero nome:
stupidaggine      	stupidaggine      	Tutte queste allusioni a ‘Lei-Sa-Chi’ sono una vera stupidaggine... Sono undici anni che cerco di convincere la gente a chiamarlo col suo vero nome:
convincere        	convincere        	Tutte queste allusioni a ‘Lei-Sa-Chi’ sono una vera stupidaggine... Sono undici anni che cerco di convincere la gente a chiamarlo col suo vero nome:
trasalì           	trasalire         	La professoressa McGonagall trasalì, ma Silente, che era impegnato a separare due caramelle che si erano incollate, sembrò non farvi caso.
impegnato         	impegnato         	La professoressa McGonagall trasalì, ma Silente, che era impegnato a separare due caramelle che si erano incollate, sembrò non farvi caso.
separare          	separare          	La professoressa McGonagall trasalì, ma Silente, che era impegnato a separare due caramelle che si erano incollate, sembrò non farvi caso.
incollate         	incollarsi        	La professoressa McGonagall trasalì, ma Silente, che era impegnato a separare due caramelle che si erano incollate, sembrò non farvi caso.
crea              	creare            	«Crea tanta di quella confusione continuare a dire ‘Lei-Sa-Chi’.
confusione        	confusione        	«Crea tanta di quella confusione continuare a dire ‘Lei-Sa-Chi’.
quale             	quale             	Non ho mai capito per quale ragione si debba avere tanta paura di pronunciare il nome di Voldemort».
metà              	metà|meta_2       	«Io lo so bene» disse la professoressa McGonagall, in tono a metà fra l’esasperato e l’ammirato.
esasperato        	esasperato        	«Io lo so bene» disse la professoressa McGonagall, in tono a metà fra l’esasperato e l’ammirato.
ammirato          	ammirare          	«Io lo so bene» disse la professoressa McGonagall, in tono a metà fra l’esasperato e l’ammirato.
oh                	oh                	Lo sanno tutti che lei è il solo di cui Lei-Sa... oh, d’accordo:
lusinga           	lusingare         	«Lei mi lusinga» disse Silente con calma.
calma             	calma             	«Lei mi lusinga» disse Silente con calma.
nobile            	nobile            	«Soltanto perché lei è troppo... troppo nobile per usarli».
usarli            	usare             	«Soltanto perché lei è troppo... troppo nobile per usarli».
male              	male              	«Meno male che è buio.
arrossivo         	arrossire         	Non arrossivo così da quella volta che Madame Pomfrey mi disse quanto le piacevano i miei nuovi paraorecchi».
quanto            	quanto            	Non arrossivo così da quella volta che Madame Pomfrey mi disse quanto le piacevano i miei nuovi paraorecchi».
piacevano         	piacere           	Non arrossivo così da quella volta che Madame Pomfrey mi disse quanto le piacevano i miei nuovi paraorecchi».
paraorecchi       	paraorecchie      	Non arrossivo così da quella volta che Madame Pomfrey mi disse quanto le piacevano i miei nuovi paraorecchi».
confronto         	confronto         	«I gufi sono niente in confronto alle voci che sono state messe in giro.
premeva           	premere           	Su quel che l’ha fermato una buona volta?» Sembrava che la professoressa McGonagall fosse giunta al punto che più le premeva discutere, la vera ragione per cui era rimasta in attesa tutto il giorno su quel muretto freddo e duro, perché mai – né da gatto né da donna – aveva fissato Silente con uno sguardo così intenso.
discutere         	discutere         	Su quel che l’ha fermato una buona volta?» Sembrava che la professoressa McGonagall fosse giunta al punto che più le premeva discutere, la vera ragione per cui era rimasta in attesa tutto il giorno su quel muretto freddo e duro, perché mai – né da gatto né da donna – aveva fissato Silente con uno sguardo così intenso.
attesa            	attesa            	Su quel che l’ha fermato una buona volta?» Sembrava che la professoressa McGonagall fosse giunta al punto che più le premeva discutere, la vera ragione per cui era rimasta in attesa tutto il giorno su quel muretto freddo e duro, perché mai – né da gatto né da donna – aveva fissato Silente con uno sguardo così intenso.
freddo            	freddo            	Su quel che l’ha fermato una buona volta?» Sembrava che la professoressa McGonagall fosse giunta al punto che più le premeva discutere, la vera ragione per cui era rimasta in attesa tutto il giorno su quel muretto freddo e duro, perché mai – né da gatto né da donna – aveva fissato Silente con uno sguardo così intenso.
duro              	duro              	Su quel che l’ha fermato una buona volta?» Sembrava che la professoressa McGonagall fosse giunta al punto che più le premeva discutere, la vera ragione per cui era rimasta in attesa tutto il giorno su quel muretto freddo e duro, perché mai – né da gatto né da donna – aveva fissato Silente con uno sguardo così intenso.
intenso           	intenso           	Su quel che l’ha fermato una buona volta?» Sembrava che la professoressa McGonagall fosse giunta al punto che più le premeva discutere, la vera ragione per cui era rimasta in attesa tutto il giorno su quel muretto freddo e duro, perché mai – né da gatto né da donna – aveva fissato Silente con uno sguardo così intenso.
mormorassero      	mormorare         	Era chiaro che qualsiasi cosa ‘tutti’ mormorassero, lei non ci avrebbe creduto sin quando Silente non le avesse detto che era vero.
sin               	sino              	Era chiaro che qualsiasi cosa ‘tutti’ mormorassero, lei non ci avrebbe creduto sin quando Silente non le avesse detto che era vero.
occupato          	occupato          	Ma lui era occupato a scegliere un’altra Frizlemon e non rispose.
incalzò           	incalzare         	«Quel che vanno dicendo» incalzò lei, «è che la notte scorsa Voldemort è spuntato fuori a Godric’s Hollow.
corre             	correre           	Corre voce che Lily e James Potter siano... siano... insomma, siano morti».
insomma           	insomma           	Corre voce che Lily e James Potter siano... siano... insomma, siano morti».
morti             	morto             	Corre voce che Lily e James Potter siano... siano... insomma, siano morti».
annuì             	annuire           	Silente annuì silenziosamente.
sussulto          	sussulto          	La professoressa McGonagall ebbe un sussulto.
mano              	mano              	«Lily e James... Non posso crederci... Non volevo crederci... Oh, Albus...» Silente allungò la mano e le diede un colpetto sulla spalla.
spalla            	spalla            	«Lily e James... Non posso crederci... Non volevo crederci... Oh, Albus...» Silente allungò la mano e le diede un colpetto sulla spalla.
gravemente        	gravemente        	«Lo so... lo so...» disse gravemente.
proseguì          	proseguire        	La McGonagall proseguì con voce tremante:
tremante          	tremante          	La McGonagall proseguì con voce tremante:
uccidere          	uccidere          	Dicono che ha anche cercato di uccidere il figlio dei Potter, Harry.
piccino           	piccino           	Quel piccino, non è riuscito a ucciderlo.
ce                	ce                	Nessuno sa né come né perché, ma dicono che quando Voldemort non ce l’ha fatta a uccidere Harry Potter, in qualche modo il suo potere è venuto meno... ed è per questo che se n’è andato».
triste            	triste            	Silente annuì triste.
balbettò          	balbettare        	» balbettò la professoressa McGonagall.
ammazzato         	ammazzare         	«Dopo tutto quel che ha fatto... dopo tutti quelli che ha ammazzato... non è riuscito a uccidere un bambino indifeso?
indifeso          	indifeso          	«Dopo tutto quel che ha fatto... dopo tutti quelli che ha ammazzato... non è riuscito a uccidere un bambino indifeso?
strabiliante      	strabiliante      	È strabiliante... di tutte le cose che avrebbero potuto fermarlo...
fermarlo          	fermare           	È strabiliante... di tutte le cose che avrebbero potuto fermarlo...
congetture        	congettura        	» «Possiamo solo fare congetture» disse Silente.
fazzoletto        	fazzoletto        	La professoressa McGonagall tirò fuori un fazzoletto di trina e si asciugò le lacrime dietro gli occhiali.
trina             	trina             	La professoressa McGonagall tirò fuori un fazzoletto di trina e si asciugò le lacrime dietro gli occhiali.
asciugò           	asciugare         	La professoressa McGonagall tirò fuori un fazzoletto di trina e si asciugò le lacrime dietro gli occhiali.
lacrime           	lacrima           	La professoressa McGonagall tirò fuori un fazzoletto di trina e si asciugò le lacrime dietro gli occhiali.
profondo          	profondo          	Con un profondo sospiro, Silente estrasse dalla tasca un orologio d’oro e lo esaminò.
sospiro           	sospiro           	Con un profondo sospiro, Silente estrasse dalla tasca un orologio d’oro e lo esaminò.
estrasse          	estrarre          	Con un profondo sospiro, Silente estrasse dalla tasca un orologio d’oro e lo esaminò.
orologio          	orologio          	Con un profondo sospiro, Silente estrasse dalla tasca un orologio d’oro e lo esaminò.
oro               	oro               	Con un profondo sospiro, Silente estrasse dalla tasca un orologio d’oro e lo esaminò.
esaminò           	esaminare         	Con un profondo sospiro, Silente estrasse dalla tasca un orologio d’oro e lo esaminò.
lancette          	lancetta          	Aveva dodici lancette, ma al posto dei numeri c’erano alcuni piccoli pianeti che si muovevano lungo il bordo del quadrante.
pianeti           	pianeta           	Aveva dodici lancette, ma al posto dei numeri c’erano alcuni piccoli pianeti che si muovevano lungo il bordo del quadrante.
!muovevano        	muovere           	Aveva dodici lancette, ma al posto dei numeri c’erano alcuni piccoli pianeti che si muovevano lungo il bordo del quadrante.
bordo             	bordo             	Aveva dodici lancette, ma al posto dei numeri c’erano alcuni piccoli pianeti che si muovevano lungo il bordo del quadrante.
quadrante         	quadrante         	Aveva dodici lancette, ma al posto dei numeri c’erano alcuni piccoli pianeti che si muovevano lungo il bordo del quadrante.
ritardo           	ritardo           	«Hagrid è in ritardo.
proposito         	proposito         	A proposito, suppongo sia stato lui a dirle che sarei venuto qui».
!suppongo         	supporre          	A proposito, suppongo sia stato lui a dirle che sarei venuto qui».
zii               	zio               	«Sono venuto a portare Harry dai suoi zii.
abitano           	abitare           	«Non vorrà mica dire... Non saranno mica quei due che abitano lì!
esclamò           	esclamare         	» esclamò la McGonagall balzando in piedi e indicando il numero 4.
balzando          	balzare           	» esclamò la McGonagall balzando in piedi e indicando il numero 4.
piedi             	piede             	» esclamò la McGonagall balzando in piedi e indicando il numero 4.
calci             	calco             	E poi quel bambino che hanno... l’ho visto prendere a calci sua madre per tutta la strada, urlando che voleva le caramelle!
madre             	madre             	E poi quel bambino che hanno... l’ho visto prendere a calci sua madre per tutta la strada, urlando che voleva le caramelle!
migliore          	migliore          	» «È il posto migliore per lui» disse Silente con fermezza.
fermezza          	fermezza          	» «È il posto migliore per lui» disse Silente con fermezza.
zia               	zia               	«La zia e lo zio potranno spiegargli tutto quando sarà più grande.
scritto           	scrivere          	Ho scritto loro una lettera».
lettera           	lettera           	Ho scritto loro una lettera».
eco               	eco               	» gli fece eco la McGonagall con un filo di voce, tornando a sedersi sul muretto.
sedersi           	sedersi           	» gli fece eco la McGonagall con un filo di voce, tornando a sedersi sul muretto.
davvero           	davvero           	«Ma davvero, Silente, crede di poter spiegare tutto questo per lettera?
diventerà         	diventare         	Lui diventerà famoso... leggendario!
famoso            	famoso            	Lui diventerà famoso... leggendario!
leggendario       	leggendario       	Lui diventerà famoso... leggendario!
stupirebbe        	stupire           	Non mi stupirebbe se in futuro la giornata di oggi venisse designata come l’Harry Potter Day.
futuro            	futuro            	Non mi stupirebbe se in futuro la giornata di oggi venisse designata come l’Harry Potter Day.
designata         	designare         	Non mi stupirebbe se in futuro la giornata di oggi venisse designata come l’Harry Potter Day.
volumi            	volume            	Si scriveranno volumi su di lui, tutti i bambini del nostro mondo conosceranno il suo nome!
conosceranno      	conoscere         	Si scriveranno volumi su di lui, tutti i bambini del nostro mondo conosceranno il suo nome!
serio             	serio             	«Proprio così» disse Silente fissandola tutto serio da sopra gli occhiali a mezzaluna.
abbastanza        	abbastanza        	«Ce ne sarebbe abbastanza per far girare la testa a qualsiasi ragazzo.
ragazzo           	ragazzo           	«Ce ne sarebbe abbastanza per far girare la testa a qualsiasi ragazzo.
camminare         	camminare         	Famoso prima ancora di camminare e di parlare!
!conservato       	conservare        	Famoso per qualcosa di cui non avrà conservato neanche il ricordo!
ricordo           	ricordo           	Famoso per qualcosa di cui non avrà conservato neanche il ricordo!
meglio            	meglio            	Non riesce a capire quanto starà meglio, se crescerà lontano da tutto questo fino al giorno in cui sarà pronto per reggerlo?» La professoressa McGonagall aprì bocca per rispondere, poi cambiò idea, deglutì e disse:
crescerà          	crescere          	Non riesce a capire quanto starà meglio, se crescerà lontano da tutto questo fino al giorno in cui sarà pronto per reggerlo?» La professoressa McGonagall aprì bocca per rispondere, poi cambiò idea, deglutì e disse:
lontano           	lontano           	Non riesce a capire quanto starà meglio, se crescerà lontano da tutto questo fino al giorno in cui sarà pronto per reggerlo?» La professoressa McGonagall aprì bocca per rispondere, poi cambiò idea, deglutì e disse:
pronto            	pronto            	Non riesce a capire quanto starà meglio, se crescerà lontano da tutto questo fino al giorno in cui sarà pronto per reggerlo?» La professoressa McGonagall aprì bocca per rispondere, poi cambiò idea, deglutì e disse:
reggerlo          	reggere           	Non riesce a capire quanto starà meglio, se crescerà lontano da tutto questo fino al giorno in cui sarà pronto per reggerlo?» La professoressa McGonagall aprì bocca per rispondere, poi cambiò idea, deglutì e disse:
deglutì           	deglutire         	Non riesce a capire quanto starà meglio, se crescerà lontano da tutto questo fino al giorno in cui sarà pronto per reggerlo?» La professoressa McGonagall aprì bocca per rispondere, poi cambiò idea, deglutì e disse:
naturalmente      	naturalmente      	«Sì... sì, lei ha ragione, naturalmente.
