le               	LE SURVIVANT
chausser         	Il était vêtu d’une longue robe, d’une cape violette qui balayait le sol et chaussé de bottes à hauts talons munies de boucles.
botte            	Il était vêtu d’une longue robe, d’une cape violette qui balayait le sol et chaussé de bottes à hauts talons munies de boucles.
haut             	Il était vêtu d’une longue robe, d’une cape violette qui balayait le sol et chaussé de bottes à hauts talons munies de boucles.
talon            	Il était vêtu d’une longue robe, d’une cape violette qui balayait le sol et chaussé de bottes à hauts talons munies de boucles.
munir            	Il était vêtu d’une longue robe, d’une cape violette qui balayait le sol et chaussé de bottes à hauts talons munies de boucles.
boucle           	Il était vêtu d’une longue robe, d’une cape violette qui balayait le sol et chaussé de bottes à hauts talons munies de boucles.
bleu             	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
brillant         	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
étinceler        	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
derrière         	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
lunette          	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
nez              	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
crochu           	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
donner           	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
impression       	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
casser           	Ses yeux bleus et brillants étincelaient derrière des lunettes en demi-lune et son long nez crochu donnait l’impression d’avoir été cassé au moins deux fois.
arriver          	Albus Dumbledore n’avait pas l’air de se rendre compte qu’il venait d’arriver dans une rue où tout en lui, depuis son nom jusqu’à ses bottes, ne pouvait être qu’indésirable.
occuper          	Il était occupé à chercher quelque chose dans sa longue cape, mais sembla s’apercevoir qu’il était observé, car il leva brusquement les yeux vers le chat qui avait toujours le regard fixé sur lui à l’autre bout de la rue.
chercher         	Il était occupé à chercher quelque chose dans sa longue cape, mais sembla s’apercevoir qu’il était observé, car il leva brusquement les yeux vers le chat qui avait toujours le regard fixé sur lui à l’autre bout de la rue.
apercevoir       	Il était occupé à chercher quelque chose dans sa longue cape, mais sembla s’apercevoir qu’il était observé, car il leva brusquement les yeux vers le chat qui avait toujours le regard fixé sur lui à l’autre bout de la rue.
brusquement      	Il était occupé à chercher quelque chose dans sa longue cape, mais sembla s’apercevoir qu’il était observé, car il leva brusquement les yeux vers le chat qui avait toujours le regard fixé sur lui à l’autre bout de la rue.
bout             	Il était occupé à chercher quelque chose dans sa longue cape, mais sembla s’apercevoir qu’il était observé, car il leva brusquement les yeux vers le chat qui avait toujours le regard fixé sur lui à l’autre bout de la rue.
vue              	Pour une raison quelconque, la vue du chat parut l’amuser.
amuser           	Pour une raison quelconque, la vue du chat parut l’amuser.
rire             	Il eut un petit rire et marmonna :
marmonner        	Il eut un petit rire et marmonna :
douter           	– J’aurais dû m’en douter.
poche            	Il avait trouvé ce qu’il cherchait dans une poche intérieure.
intérieur        	Il avait trouvé ce qu’il cherchait dans une poche intérieure.
apparemment      	Apparemment, il s’agissait d’un briquet en argent.
briquet          	Apparemment, il s’agissait d’un briquet en argent.
relever          	Il en releva le capuchon, le tendit au-dessus de sa tête et l’alluma.
capuchon         	Il en releva le capuchon, le tendit au-dessus de sa tête et l’alluma.
tendre           	Il en releva le capuchon, le tendit au-dessus de sa tête et l’alluma.
allumer          	Il en releva le capuchon, le tendit au-dessus de sa tête et l’alluma.
réverbère        	Le réverbère le plus proche s’éteignit alors avec un petit claquement.
proche           	Le réverbère le plus proche s’éteignit alors avec un petit claquement.
éteindre         	Le réverbère le plus proche s’éteignit alors avec un petit claquement.
claquement       	Le réverbère le plus proche s’éteignit alors avec un petit claquement.
suivre           	L’homme alluma à nouveau le briquet – le réverbère suivant s’éteignit à son tour.
tour             	L’homme alluma à nouveau le briquet – le réverbère suivant s’éteignit à son tour.
douze            	Douze fois, il actionna ainsi l’Éteignoir jusqu’à ce qu’il ne reste plus aucune lumière dans la rue, à part deux points minuscules qui brillaient au loin : c’étaient les yeux du chat, toujours fixés sur lui.
actionner        	Douze fois, il actionna ainsi l’Éteignoir jusqu’à ce qu’il ne reste plus aucune lumière dans la rue, à part deux points minuscules qui brillaient au loin : c’étaient les yeux du chat, toujours fixés sur lui.
éteignoir        	Douze fois, il actionna ainsi l’Éteignoir jusqu’à ce qu’il ne reste plus aucune lumière dans la rue, à part deux points minuscules qui brillaient au loin : c’étaient les yeux du chat, toujours fixés sur lui.
lumière          	Douze fois, il actionna ainsi l’Éteignoir jusqu’à ce qu’il ne reste plus aucune lumière dans la rue, à part deux points minuscules qui brillaient au loin : c’étaient les yeux du chat, toujours fixés sur lui.
part             	Douze fois, il actionna ainsi l’Éteignoir jusqu’à ce qu’il ne reste plus aucune lumière dans la rue, à part deux points minuscules qui brillaient au loin : c’étaient les yeux du chat, toujours fixés sur lui.
point            	Douze fois, il actionna ainsi l’Éteignoir jusqu’à ce qu’il ne reste plus aucune lumière dans la rue, à part deux points minuscules qui brillaient au loin : c’étaient les yeux du chat, toujours fixés sur lui.
briller          	Douze fois, il actionna ainsi l’Éteignoir jusqu’à ce qu’il ne reste plus aucune lumière dans la rue, à part deux points minuscules qui brillaient au loin : c’étaient les yeux du chat, toujours fixés sur lui.
loin             	Douze fois, il actionna ainsi l’Éteignoir jusqu’à ce qu’il ne reste plus aucune lumière dans la rue, à part deux points minuscules qui brillaient au loin : c’étaient les yeux du chat, toujours fixés sur lui.
fouine           	Quiconque aurait regardé par une fenêtre en cet instant, même Mrs Dursley et ses petits yeux de fouine, aurait été incapable de voir le moindre détail de ce qui se passait dans la rue.
marcher          	Dumbledore rangea son Éteignoir dans la poche de sa cape et marcha en direction du numéro 4.
direction        	Dumbledore rangea son Éteignoir dans la poche de sa cape et marcha en direction du numéro 4.
muret            	Lorsqu’il y fut parvenu, il s’assit sur le muret, à côté du chat.
accorder         	Il ne lui accorda pas un regard, mais après un moment de silence, il lui parla : – C’est amusant de vous voir ici, professeur McGonagall, dit-il.
moment           	Il ne lui accorda pas un regard, mais après un moment de silence, il lui parla : – C’est amusant de vous voir ici, professeur McGonagall, dit-il.
amusant          	Il ne lui accorda pas un regard, mais après un moment de silence, il lui parla : – C’est amusant de vous voir ici, professeur McGonagall, dit-il.
ici              	Il ne lui accorda pas un regard, mais après un moment de silence, il lui parla : – C’est amusant de vous voir ici, professeur McGonagall, dit-il.
professeur       	Il ne lui accorda pas un regard, mais après un moment de silence, il lui parla : – C’est amusant de vous voir ici, professeur McGonagall, dit-il.
adresser         	Il tourna la tête pour adresser un sourire au chat tigré, mais celui-ci avait disparu.
allure           	Dumbledore souriait à présent à une femme d’allure sévère avec des lunettes carrées qui avaient exactement la même forme que les motifs autour des yeux du chat.
carré            	Dumbledore souriait à présent à une femme d’allure sévère avec des lunettes carrées qui avaient exactement la même forme que les motifs autour des yeux du chat.
exactement       	Dumbledore souriait à présent à une femme d’allure sévère avec des lunettes carrées qui avaient exactement la même forme que les motifs autour des yeux du chat.
forme            	Dumbledore souriait à présent à une femme d’allure sévère avec des lunettes carrées qui avaient exactement la même forme que les motifs autour des yeux du chat.
motif            	Dumbledore souriait à présent à une femme d’allure sévère avec des lunettes carrées qui avaient exactement la même forme que les motifs autour des yeux du chat.
tirer            	Ses cheveux étaient tirés en un chignon serré et elle avait l’air singulièrement agacée.
chignon          	Ses cheveux étaient tirés en un chignon serré et elle avait l’air singulièrement agacée.
singulièrement   	Ses cheveux étaient tirés en un chignon serré et elle avait l’air singulièrement agacée.
agacer           	Ses cheveux étaient tirés en un chignon serré et elle avait l’air singulièrement agacée.
moi              	– Comment avez-vous su que c’était moi ?
raide            	– Mon cher professeur, je n’ai jamais vu un chat se tenir d’une manière aussi raide.
brique           	– Vous aussi, vous seriez un peu raide si vous restiez assis toute une journée sur un mur de briques, répondit le professeur McGonagall.
célébrer         	Alors que vous auriez pu célébrer l’événement avec les autres ?
douzaine         	En venant ici, j’ai dû voir une bonne douzaine de fêtes et de banquets.
fête             	En venant ici, j’ai dû voir une bonne douzaine de fêtes et de banquets.
banquet          	En venant ici, j’ai dû voir une bonne douzaine de fêtes et de banquets.
renifler         	Le professeur McGonagall renifla d’un air courroucé.
agacement        	Oui, oui, je sais, tout le monde fait la fête, dit-elle avec agacement.
prudent          	On aurait pu penser qu’ils seraient plus prudents, mais non, pas du tout !
plonger          	Elle montra d’un signe de tête la fenêtre du salon des Dursley, plongé dans l’obscurité.
obscurité        	Elle montra d’un signe de tête la fenêtre du salon des Dursley, plongé dans l’obscurité.
vol              	Ils ont signalé des vols de hiboux…
inévitable       	Il était inévitable qu’ils s’en aperçoivent.
parier           	Je parie que c’est encore un coup de Dedalus Diggle.
jugeote          	Il n’a jamais eu beaucoup de jugeote.
douceur          	– On ne peut pas leur en vouloir, dit Dumbledore avec douceur.
nous             	Nous n’avons pas eu grand-chose à célébrer depuis onze ans.
onze             	Nous n’avons pas eu grand-chose à célébrer depuis onze ans.
an               	Nous n’avons pas eu grand-chose à célébrer depuis onze ans.
imprudence       	Tous ces gens ont été d’une imprudence folle.
fou              	Tous ces gens ont été d’une imprudence folle.
promener         	Se promener dans les rues en plein jour, à s’échanger les dernières nouvelles sans même prendre la précaution de s’habiller comme des Moldus !
échanger         	Se promener dans les rues en plein jour, à s’échanger les dernières nouvelles sans même prendre la précaution de s’habiller comme des Moldus !
précaution       	Se promener dans les rues en plein jour, à s’échanger les dernières nouvelles sans même prendre la précaution de s’habiller comme des Moldus !
oblique          	Elle lança un regard oblique et perçant à Dumbledore, comme si elle espérait qu’il allait dire quelque chose, mais il garda le silence.
percer           	Elle lança un regard oblique et perçant à Dumbledore, comme si elle espérait qu’il allait dire quelque chose, mais il garda le silence.
garder           	Elle lança un regard oblique et perçant à Dumbledore, comme si elle espérait qu’il allait dire quelque chose, mais il garda le silence.
drap             	– Nous serions dans de beaux draps, reprit-elle alors, si le jour où Vous-Savez-Qui semble enfin avoir disparu, les Moldus s’apercevaient de notre existence.
notre            	– Nous serions dans de beaux draps, reprit-elle alors, si le jour où Vous-Savez-Qui semble enfin avoir disparu, les Moldus s’apercevaient de notre existence.
effet            	– Il semble qu’il en soit ainsi, en effet, assura Dumbledore.
assurer          	– Il semble qu’il en soit ainsi, en effet, assura Dumbledore.
féliciter        	Et nous avons tout lieu de nous en féliciter.
esquimau         	Que diriez-vous d’un esquimau au citron ?
citron           	Que diriez-vous d’un esquimau au citron ?
friandise        	C’est une friandise que fabriquent les Moldus et je dois dire que c’est plutôt bon.
plutôt           	C’est une friandise que fabriquent les Moldus et je dois dire que c’est plutôt bon.
froidement       	– Merci, pas pour moi, répondit froidement le professeur McGonagall qui semblait estimer que le moment n’était pas venu de manger des glaces au citron.
estimer          	– Merci, pas pour moi, répondit froidement le professeur McGonagall qui semblait estimer que le moment n’était pas venu de manger des glaces au citron.
glace            	– Merci, pas pour moi, répondit froidement le professeur McGonagall qui semblait estimer que le moment n’était pas venu de manger des glaces au citron.
donc             	Je vous disais donc que même si Vous-Savez-Qui est vraiment parti…
partir           	Je vous disais donc que même si Vous-Savez-Qui est vraiment parti…
raisonnable      	– Mon cher professeur, quelqu’un d’aussi raisonnable que vous ne devrait pas hésiter à prononcer son nom, ne croyez-vous pas ?
hésiter          	– Mon cher professeur, quelqu’un d’aussi raisonnable que vous ne devrait pas hésiter à prononcer son nom, ne croyez-vous pas ?
croire           	– Mon cher professeur, quelqu’un d’aussi raisonnable que vous ne devrait pas hésiter à prononcer son nom, ne croyez-vous pas ?
grimace          	Le professeur McGonagall fit une grimace, mais Dumbledore qui avait sorti deux esquimaux au citron ne parut pas le remarquer.
créer            	– Si nous continuons à dire « Vous-Savez-Qui », nous allons finir par créer la confusion.
confusion        	– Si nous continuons à dire « Vous-Savez-Qui », nous allons finir par créer la confusion.
moitié           	– Je sais bien que vous n’en voyez pas, répliqua le professeur McGonagall qui semblait moitié exaspérée, moitié admirative.
exaspérer        	– Je sais bien que vous n’en voyez pas, répliqua le professeur McGonagall qui semblait moitié exaspérée, moitié admirative.
admiratif        	– Je sais bien que vous n’en voyez pas, répliqua le professeur McGonagall qui semblait moitié exaspérée, moitié admirative.
différent        	Mais, vous, vous êtes différent des autres.
flatter          	– Vous me flattez, dit Dumbledore d’une voix tranquille.
tranquille       	– Vous me flattez, dit Dumbledore d’une voix tranquille.
simplement       	– C’est simplement parce que vous avez trop de… disons de noblesse pour en faire usage.
parce que        	– C’est simplement parce que vous avez trop de… disons de noblesse pour en faire usage.
trop             	– C’est simplement parce que vous avez trop de… disons de noblesse pour en faire usage.
noblesse         	– C’est simplement parce que vous avez trop de… disons de noblesse pour en faire usage.
usage            	– C’est simplement parce que vous avez trop de… disons de noblesse pour en faire usage.
heureusement     	– Heureusement qu’il fait nuit.
autant           	Je n’ai jamais autant rougi depuis le jour où Madame Pomfresh m’a dit qu’elle trouvait mes nouveaux cache-oreilles ravissants.
rougir           	Je n’ai jamais autant rougi depuis le jour où Madame Pomfresh m’a dit qu’elle trouvait mes nouveaux cache-oreilles ravissants.
ravissant        	Je n’ai jamais autant rougi depuis le jour où Madame Pomfresh m’a dit qu’elle trouvait mes nouveaux cache-oreilles ravissants.
comparer         	– Les hiboux, ce n’est rien comparé aux rumeurs qui circulent, déclara-t-elle.
rumeur           	– Les hiboux, ce n’est rien comparé aux rumeurs qui circulent, déclara-t-elle.
circuler         	– Les hiboux, ce n’est rien comparé aux rumeurs qui circulent, déclara-t-elle.
déclarer         	– Les hiboux, ce n’est rien comparé aux rumeurs qui circulent, déclara-t-elle.
disparition      	Vous savez ce que tout le monde dit sur les raisons de sa disparition ?
aborder          	Apparemment, le professeur McGonagall venait d’aborder le sujet qui lui tenait le plus à cœur, la véritable raison qui l’avait décidée à attendre toute la journée, assise sur un mur glacial.
glacial          	Apparemment, le professeur McGonagall venait d’aborder le sujet qui lui tenait le plus à cœur, la véritable raison qui l’avait décidée à attendre toute la journée, assise sur un mur glacial.
pénétrer         	Car jamais un chat ni une femme n’avait fixé Dumbledore d’un regard aussi pénétrant que celui du professeur en cet instant.
évidence         	À l’évidence, elle n’avait pas l’intention de croire ce que « tout le monde » disait tant que Dumbledore ne lui aurait pas confirmé qu’il s’agissait bien de la vérité.
intention        	À l’évidence, elle n’avait pas l’intention de croire ce que « tout le monde » disait tant que Dumbledore ne lui aurait pas confirmé qu’il s’agissait bien de la vérité.
tant             	À l’évidence, elle n’avait pas l’intention de croire ce que « tout le monde » disait tant que Dumbledore ne lui aurait pas confirmé qu’il s’agissait bien de la vérité.
confirmer        	À l’évidence, elle n’avait pas l’intention de croire ce que « tout le monde » disait tant que Dumbledore ne lui aurait pas confirmé qu’il s’agissait bien de la vérité.
vérité           	À l’évidence, elle n’avait pas l’intention de croire ce que « tout le monde » disait tant que Dumbledore ne lui aurait pas confirmé qu’il s’agissait bien de la vérité.
choisir          	Dumbledore, cependant, était occupé à choisir un autre esquimau et ne lui répondit pas.
hier             	Ce qu’ils disent, poursuivit le professeur, c’est que Voldemort est venu hier soir à Godric’s Hollow pour y chercher les Potter.
soir             	Ce qu’ils disent, poursuivit le professeur, c’est que Voldemort est venu hier soir à Godric’s Hollow pour y chercher les Potter.
mort             	D’après la rumeur, Lily et James Potter sont… enfin, on dit qu’ils sont… morts…
incliner         	D’après la rumeur, Lily et James Potter sont… enfin, on dit qu’ils sont… morts…
respiration      	Le professeur McGonagall avait du mal à reprendre sa respiration.
admettre         	Je ne voulais pas l’admettre…
oh               	Oh, Albus… Dumbledore tendit la main et lui tapota l’épaule.
main             	Oh, Albus… Dumbledore tendit la main et lui tapota l’épaule.
tapoter          	Oh, Albus… Dumbledore tendit la main et lui tapota l’épaule.
épaule           	Oh, Albus… Dumbledore tendit la main et lui tapota l’épaule.
gravement        	– Je sais… Je sais… dit-il gravement.
tremblant        	– Et ce n’est pas tout, reprit le professeur McGonagall d’une voix tremblante.
tuer             	On dit qu’il a essayé de tuer Harry, le fils des Potter.
réussir          	Il n’a pas réussi à supprimer ce bambin.
supprimer        	Il n’a pas réussi à supprimer ce bambin.
bambin           	Il n’a pas réussi à supprimer ce bambin.
personne         	Personne ne sait pourquoi ni comment, mais tout le monde raconte que lorsqu’il a essayé de tuer Harry Potter sans y parvenir, le pouvoir de Voldemort s’est brisé, pour ainsi dire – et c’est pour ça qu’il a… disparu.
briser           	Personne ne sait pourquoi ni comment, mais tout le monde raconte que lorsqu’il a essayé de tuer Harry Potter sans y parvenir, le pouvoir de Voldemort s’est brisé, pour ainsi dire – et c’est pour ça qu’il a… disparu.
hocher           	Dumbledore hocha la tête d’un air sombre.
sombre           	Dumbledore hocha la tête d’un air sombre.
vrai             	– C’est… c’est vrai ?
bredouiller      	bredouilla le professeur McGonagall.
stupéfiant       	C’est stupéfiant… rien d’autre n’avait pu l’arrêter… mais, au nom du ciel, comment se fait-il que Harry ait pu survivre ?
supposition      	– On ne peut faire que des suppositions, répondit Dumbledore.
mouchoir         	Le professeur McGonagall sortit un mouchoir en dentelle et s’essuya les yeux sous ses lunettes.
dentelle         	Le professeur McGonagall sortit un mouchoir en dentelle et s’essuya les yeux sous ses lunettes.
essuyer          	Le professeur McGonagall sortit un mouchoir en dentelle et s’essuya les yeux sous ses lunettes.
sous             	Le professeur McGonagall sortit un mouchoir en dentelle et s’essuya les yeux sous ses lunettes.
inspirer         	Dumbledore inspira longuement en prenant dans sa poche une montre en or qu’il consulta.
longuement       	Dumbledore inspira longuement en prenant dans sa poche une montre en or qu’il consulta.
montre           	Dumbledore inspira longuement en prenant dans sa poche une montre en or qu’il consulta.
consulter        	Dumbledore inspira longuement en prenant dans sa poche une montre en or qu’il consulta.
aiguille         	Elle avait douze aiguilles, mais pas de chiffres.
chiffre          	Elle avait douze aiguilles, mais pas de chiffres.
planète          	À la place, il y avait de petites planètes qui tournaient au bord du cadran.
bord             	À la place, il y avait de petites planètes qui tournaient au bord du cadran.
cadran           	À la place, il y avait de petites planètes qui tournaient au bord du cadran.
retard           	Tout cela devait avoir un sens pour Dumbledore car il remit la montre dans sa poche en disant : – Hagrid est en retard.
supposer         	Oui, admit le professeur McGonagall, et je suppose que vous n’avez pas l’intention de me dire pour quelle raison vous êtes venu dans cet endroit précis ?
endroit          	Oui, admit le professeur McGonagall, et je suppose que vous n’avez pas l’intention de me dire pour quelle raison vous êtes venu dans cet endroit précis ?
précis           	Oui, admit le professeur McGonagall, et je suppose que vous n’avez pas l’intention de me dire pour quelle raison vous êtes venu dans cet endroit précis ?
confier          	– Je suis venu confier Harry à sa tante et à son oncle.
tante            	– Je suis venu confier Harry à sa tante et à son oncle.
oncle            	– Je suis venu confier Harry à sa tante et à son oncle.
famille          	C’est la seule famille qui lui reste désormais.
désormais        	C’est la seule famille qui lui reste désormais.
écrier           	s’écria le professeur McGonagall en se levant d’un bond, le doigt pointé sur le numéro 4 de la rue.
bond             	s’écria le professeur McGonagall en se levant d’un bond, le doigt pointé sur le numéro 4 de la rue.
pied             	je l’ai vu donner des coups de pied à sa mère tout au long de la rue en hurlant pour réclamer des bonbons.
mère             	je l’ai vu donner des coups de pied à sa mère tout au long de la rue en hurlant pour réclamer des bonbons.
hurler           	je l’ai vu donner des coups de pied à sa mère tout au long de la rue en hurlant pour réclamer des bonbons.
réclamer         	je l’ai vu donner des coups de pied à sa mère tout au long de la rue en hurlant pour réclamer des bonbons.
bonbon           	je l’ai vu donner des coups de pied à sa mère tout au long de la rue en hurlant pour réclamer des bonbons.
vivre            	, venir vivre ici !
meilleur         	– C’est le meilleur endroit pour lui, répliqua Dumbledore d’un ton ferme.
ferme            	– C’est le meilleur endroit pour lui, répliqua Dumbledore d’un ton ferme.
écrire           	Je leur ai écrit une lettre.
lettre           	Je leur ai écrit une lettre.
répéter          	répéta le professeur McGonagall d’une voix éteinte en se rasseyant sur le muret.
rasseoir         	répéta le professeur McGonagall d’une voix éteinte en se rasseyant sur le muret.
devenir          	Il va devenir célèbre – une véritable légende vivante
célèbre          	Il va devenir célèbre – une véritable légende vivante
légende          	Il va devenir célèbre – une véritable légende vivante
vivant           	Il va devenir célèbre – une véritable légende vivante
étonner          	, je ne serais pas étonnée que la date d’aujourd’hui devienne dans l’avenir la fête de Harry Potter.
date             	, je ne serais pas étonnée que la date d’aujourd’hui devienne dans l’avenir la fête de Harry Potter.
avenir           	, je ne serais pas étonnée que la date d’aujourd’hui devienne dans l’avenir la fête de Harry Potter.
livre            	On écrira des livres sur lui.
connaître        	Tous les enfants de notre monde connaîtront son nom !
sérieux          	– C’est vrai, dit Dumbledore en la regardant d’un air très sérieux par-dessus ses lunettes en demi-lune.
importer         	Il y aurait de quoi tourner la tête de n’importe quel enfant.
capable          	Célèbre pour quelque chose dont il ne sera même pas capable de se souvenir !
souvenir         	Célèbre pour quelque chose dont il ne sera même pas capable de se souvenir !
valoir           	Ne comprenez-vous pas qu’il vaut beaucoup mieux pour lui qu’il grandisse à l’écart de tout cela jusqu’à ce qu’il soit prêt à l’assumer ?
mieux            	Ne comprenez-vous pas qu’il vaut beaucoup mieux pour lui qu’il grandisse à l’écart de tout cela jusqu’à ce qu’il soit prêt à l’assumer ?
grandir          	Ne comprenez-vous pas qu’il vaut beaucoup mieux pour lui qu’il grandisse à l’écart de tout cela jusqu’à ce qu’il soit prêt à l’assumer ?
écart            	Ne comprenez-vous pas qu’il vaut beaucoup mieux pour lui qu’il grandisse à l’écart de tout cela jusqu’à ce qu’il soit prêt à l’assumer ?
prêt             	Ne comprenez-vous pas qu’il vaut beaucoup mieux pour lui qu’il grandisse à l’écart de tout cela jusqu’à ce qu’il soit prêt à l’assumer ?
assumer          	Ne comprenez-vous pas qu’il vaut beaucoup mieux pour lui qu’il grandisse à l’écart de tout cela jusqu’à ce qu’il soit prêt à l’assumer ?
avaler           	Elle parut changer d’avis, avala sa salive et répondit :
salive           	Elle parut changer d’avis, avala sa salive et répondit :
cacher           	Elle regarda soudain sa cape comme si elle pensait que Harry était peut-être caché dessous.
dessous          	Elle regarda soudain sa cape comme si elle pensait que Harry était peut-être caché dessous.
amener           	– C’est Hagrid qui doit l’amener, dit Dumbledore.
sage             	– Et vous croyez qu’il est… sage de confier une tâche aussi importante à Hagrid ?
tâche            	– Et vous croyez qu’il est… sage de confier une tâche aussi importante à Hagrid ?
propre           	– Je confierais ma propre vie à Hagrid, assura Dumbledore.
vie              	– Je confierais ma propre vie à Hagrid, assura Dumbledore.
réticence        	– Je ne dis pas qu’il manque de cœur, répondit le professeur McGonagall avec réticence, mais reconnaissez qu’il est passablement négligent.
passablement     	– Je ne dis pas qu’il manque de cœur, répondit le professeur McGonagall avec réticence, mais reconnaissez qu’il est passablement négligent.
négliger         	– Je ne dis pas qu’il manque de cœur, répondit le professeur McGonagall avec réticence, mais reconnaissez qu’il est passablement négligent.
tendance         	Il a tendance à…
grondement       	Un grondement sourd avait brisé le silence de la nuit.
sourd            	Un grondement sourd avait brisé le silence de la nuit.
bruit            	Le bruit augmenta d’intensité tandis qu’ils scrutaient la rue des deux côtés pour essayer d’apercevoir la lueur d’un phare.
augmenter        	Le bruit augmenta d’intensité tandis qu’ils scrutaient la rue des deux côtés pour essayer d’apercevoir la lueur d’un phare.
intensité        	Le bruit augmenta d’intensité tandis qu’ils scrutaient la rue des deux côtés pour essayer d’apercevoir la lueur d’un phare.
scruter          	Le bruit augmenta d’intensité tandis qu’ils scrutaient la rue des deux côtés pour essayer d’apercevoir la lueur d’un phare.
lueur            	Le bruit augmenta d’intensité tandis qu’ils scrutaient la rue des deux côtés pour essayer d’apercevoir la lueur d’un phare.
phare            	Le bruit augmenta d’intensité tandis qu’ils scrutaient la rue des deux côtés pour essayer d’apercevoir la lueur d’un phare.
transformer      	Le grondement se transforma en pétarade au-dessus de leur tête.
pétarade         	Le grondement se transforma en pétarade au-dessus de leur tête.
énorme           	Ils levèrent alors les yeux et virent une énorme moto tomber du ciel et atterrir devant eux sur la chaussée.
moto             	Ils levèrent alors les yeux et virent une énorme moto tomber du ciel et atterrir devant eux sur la chaussée.
atterrir         	Ils levèrent alors les yeux et virent une énorme moto tomber du ciel et atterrir devant eux sur la chaussée.
chaussée         	Ils levèrent alors les yeux et virent une énorme moto tomber du ciel et atterrir devant eux sur la chaussée.
tellement        	Il était même tellement grand qu’on avait peine à le croire.
peine            	Il était même tellement grand qu’on avait peine à le croire.
sauvage          	On aurait dit un sauvage, avec ses longs cheveux noirs en broussaille, sa barbe qui cachait presque entièrement son visage, ses mains de la taille d’un couvercle de poubelle et ses pieds chaussés de bottes en cuir qui avaient l’air de bébés dauphins.
noir             	On aurait dit un sauvage, avec ses longs cheveux noirs en broussaille, sa barbe qui cachait presque entièrement son visage, ses mains de la taille d’un couvercle de poubelle et ses pieds chaussés de bottes en cuir qui avaient l’air de bébés dauphins.
broussaille      	On aurait dit un sauvage, avec ses longs cheveux noirs en broussaille, sa barbe qui cachait presque entièrement son visage, ses mains de la taille d’un couvercle de poubelle et ses pieds chaussés de bottes en cuir qui avaient l’air de bébés dauphins.
entièrement      	On aurait dit un sauvage, avec ses longs cheveux noirs en broussaille, sa barbe qui cachait presque entièrement son visage, ses mains de la taille d’un couvercle de poubelle et ses pieds chaussés de bottes en cuir qui avaient l’air de bébés dauphins.
couvercle        	On aurait dit un sauvage, avec ses longs cheveux noirs en broussaille, sa barbe qui cachait presque entièrement son visage, ses mains de la taille d’un couvercle de poubelle et ses pieds chaussés de bottes en cuir qui avaient l’air de bébés dauphins.
poubelle         	On aurait dit un sauvage, avec ses longs cheveux noirs en broussaille, sa barbe qui cachait presque entièrement son visage, ses mains de la taille d’un couvercle de poubelle et ses pieds chaussés de bottes en cuir qui avaient l’air de bébés dauphins.
cuir             	On aurait dit un sauvage, avec ses longs cheveux noirs en broussaille, sa barbe qui cachait presque entièrement son visage, ses mains de la taille d’un couvercle de poubelle et ses pieds chaussés de bottes en cuir qui avaient l’air de bébés dauphins.
dauphin          	On aurait dit un sauvage, avec ses longs cheveux noirs en broussaille, sa barbe qui cachait presque entièrement son visage, ses mains de la taille d’un couvercle de poubelle et ses pieds chaussés de bottes en cuir qui avaient l’air de bébés dauphins.
couverture       	L’homme tenait un tas de couvertures dans ses immenses bras musculeux.
immense          	L’homme tenait un tas de couvertures dans ses immenses bras musculeux.
soulagement      	– Hagrid, dit Dumbledore avec soulagement.
dénicher         	Où avez-vous déniché cette moto ?
emprunter        	– L’ai empruntée, professeur Dumbledore, Monsieur, répondit le géant en descendant avec précaution de la moto.
géant            	– L’ai empruntée, professeur Dumbledore, Monsieur, répondit le géant en descendant avec précaution de la moto.
prêter           	C’est le jeune Sirius Black qui me l’a prêtée.
détruire         	La maison était presque entièrement détruite mais je me suis débrouillé pour le sauver de là avant que les Moldus commencent à rappliquer.
débrouiller      	La maison était presque entièrement détruite mais je me suis débrouillé pour le sauver de là avant que les Moldus commencent à rappliquer.
sauver           	La maison était presque entièrement détruite mais je me suis débrouillé pour le sauver de là avant que les Moldus commencent à rappliquer.
rappliquer       	La maison était presque entièrement détruite mais je me suis débrouillé pour le sauver de là avant que les Moldus commencent à rappliquer.
survoler         	Il s’est endormi quand on a survolé Bristol.
